role,role_status,competency_code,krm_recommended_competency_level,course_target_indicators,course_target_level,course_focus,source
MLOps (Специалист по эксплуатации ИИ),основная,LC-5,П,LC-5.1; LC-5.2,С,"Инженерные практики, развёртывание, эксплуатация, мониторинг и управление ML-артефактами","krm-v3.0.xlsx; лист 'Роли-компетенции наглядно', строка 37 (LC-5), 34 (LC-2), 35 (LC-3) или 41 (AI S -1)"
MLOps (Специалист по эксплуатации ИИ),основная,LC-2,Б,LC-2.1,С,"Воспроизводимые эксперименты, качество, производительность и анализ ошибок","krm-v3.0.xlsx; лист 'Роли-компетенции наглядно', строка 37 (LC-5), 34 (LC-2), 35 (LC-3) или 41 (AI S -1)"
MLOps (Специалист по эксплуатации ИИ),основная,LC-3,С,LC-3.1,С,"Архитектура обучения, инференса, мониторинга и управляемых изменений","krm-v3.0.xlsx; лист 'Роли-компетенции наглядно', строка 37 (LC-5), 34 (LC-2), 35 (LC-3) или 41 (AI S -1)"
MLOps (Специалист по эксплуатации ИИ),основная,AI S -1,Б,AI S -1.1,Б,"Эксплуатационные риски, секреты, безопасное обновление, откат и инциденты","krm-v3.0.xlsx; лист 'Роли-компетенции наглядно', строка 37 (LC-5), 34 (LC-2), 35 (LC-3) или 41 (AI S -1)"
ML Engineer (Инженер МО),смежная,LC-5,П,LC-5.1; LC-5.2,С,"Инженерные практики, развёртывание, эксплуатация, мониторинг и управление ML-артефактами","krm-v3.0.xlsx; лист 'Роли-компетенции наглядно', строка 37 (LC-5), 34 (LC-2), 35 (LC-3) или 41 (AI S -1)"
ML Engineer (Инженер МО),смежная,LC-2,С,LC-2.1,С,"Воспроизводимые эксперименты, качество, производительность и анализ ошибок","krm-v3.0.xlsx; лист 'Роли-компетенции наглядно', строка 37 (LC-5), 34 (LC-2), 35 (LC-3) или 41 (AI S -1)"
ML Engineer (Инженер МО),смежная,LC-3,С,LC-3.1,С,"Архитектура обучения, инференса, мониторинга и управляемых изменений","krm-v3.0.xlsx; лист 'Роли-компетенции наглядно', строка 37 (LC-5), 34 (LC-2), 35 (LC-3) или 41 (AI S -1)"
ML Engineer (Инженер МО),смежная,AI S -1,Б,AI S -1.1,Б,"Эксплуатационные риски, секреты, безопасное обновление, откат и инциденты","krm-v3.0.xlsx; лист 'Роли-компетенции наглядно', строка 37 (LC-5), 34 (LC-2), 35 (LC-3) или 41 (AI S -1)"
AI Architect (Архитектор ИИ),вклад в архитектурную составляющую,LC-5,Б,LC-5.1; LC-5.2,С,"Инженерные практики, развёртывание, эксплуатация, мониторинг и управление ML-артефактами","krm-v3.0.xlsx; лист 'Роли-компетенции наглядно', строка 37 (LC-5), 34 (LC-2), 35 (LC-3) или 41 (AI S -1)"
AI Architect (Архитектор ИИ),вклад в архитектурную составляющую,LC-2,Б,LC-2.1,С,"Воспроизводимые эксперименты, качество, производительность и анализ ошибок","krm-v3.0.xlsx; лист 'Роли-компетенции наглядно', строка 37 (LC-5), 34 (LC-2), 35 (LC-3) или 41 (AI S -1)"
AI Architect (Архитектор ИИ),вклад в архитектурную составляющую,LC-3,П,LC-3.1,С,"Архитектура обучения, инференса, мониторинга и управляемых изменений","krm-v3.0.xlsx; лист 'Роли-компетенции наглядно', строка 37 (LC-5), 34 (LC-2), 35 (LC-3) или 41 (AI S -1)"
AI Architect (Архитектор ИИ),вклад в архитектурную составляющую,AI S -1,Б,AI S -1.1,Б,"Эксплуатационные риски, секреты, безопасное обновление, откат и инциденты","krm-v3.0.xlsx; лист 'Роли-компетенции наглядно', строка 37 (LC-5), 34 (LC-2), 35 (LC-3) или 41 (AI S -1)"
